127.0.0.1 - - [14/Dec/2021:02:18:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:18:10 +0530] "GET /NewJspDemo/JapServer.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:18:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:25:01 +0530] "GET /NewJspDemo/JapServer.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:36:00 +0530] "GET /NewJspDemo/homepage.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:36:39 +0530] "GET /NewJspDemo/homepage.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:52:36 +0530] "GET /NewJspDemo/student-response.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:52:47 +0530] "GET /NewJspDemo/student-form.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:53:01 +0530] "GET /NewJspDemo/student-response.jsp?FirstName=Sharif&LastName=Jamil HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:54:07 +0530] "GET /NewJspDemo/student-form.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [14/Dec/2021:02:54:39 +0530] "GET /NewJspDemo/student-response.jsp?FirstName=Sharif&LastName=Jamil HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Dec/2021:03:02:06 +0530] "GET /NewJspDemo/student-form.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [14/Dec/2021:03:02:16 +0530] "GET /NewJspDemo/student-response.jsp?FirstName=sharif&LastName=jamil&Country=England HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Dec/2021:03:04:50 +0530] "GET /NewJspDemo/student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:03:09:24 +0530] "GET /NewJspDemo/student-form.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [14/Dec/2021:03:10:36 +0530] "GET /NewJspDemo/student-response.jsp?FirstName=Sharif&LastName=Jamil&favoritelanguage=on&Country=India HTTP/1.1" 200 237
